Kode_RS,Rumah_Sakit,Provinsi,Kab_Kota,Kelas,Penyelenggara_Kategori,Total_SDM_Tercatat,Jumlah_Jenis_SDM_Tersedia,Ada_Data_Alkes,Total_Unit_Alkes_Tercatat,Jumlah_Jenis_Alkes_Tersedia,Jumlah_Layanan_BPJS_Tercatat,Jumlah_Layanan_BPJS_Sudah,Persen_Layanan_BPJS_Sudah
5102043,RS Umum Bhakti Rahayu Tabanan,Bali,Tabanan,D,RS Privat,29.0,10,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5102047,RS Umum Daerah Singasana,Bali,Tabanan,C,RS Publik,53.0,12,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5102010,RS Umum Daerah Tabanan,Bali,Tabanan,B,RS Publik,147.0,14,1,5.0,5.0,2,2,100.0
5102021,RS Umum Dharma Kerti,Bali,Tabanan,D,RS Privat,35.0,12,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5102046,RS Umum Kasih Ibu Tabanan,Bali,Tabanan,C,RS Privat,56.0,13,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5102049,RS Umum Semara Ratih,Bali,Tabanan,C,RS Privat,22.0,11,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5102044,RS Umum Wisma Prashanti,Bali,Tabanan,C,RS Privat,31.0,8,0,Tidak tercatat,Tidak tercatat,1,1,100.0
3672040,RS Citra sundari,Banten,Kota Cilegon,D,RS Privat,24.0,11,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
3672053,RS Ibu dan Anak Kasih Insani,Banten,Kota Cilegon,C,RS Privat,3.0,2,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
3672003,RS Ibu dan Anak Mutiara Bunda,Banten,Kota Cilegon,C,RS Privat,15.0,7,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
3672011,RS Krakatau Medika,Banten,Kota Cilegon,B,RS Privat,80.0,12,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
3672034,RS Kurnia,Banten,Kota Cilegon,C,RS Privat,49.0,12,0,Tidak tercatat,Tidak tercatat,1,1,100.0
3672022,RS Umum Daerah Kota Cilegon,Banten,Kota Cilegon,B,RS Publik,97.0,14,1,3.0,3.0,3,0,0.0
3672052,RS Umum Hermina Cilegon,Banten,Kota Cilegon,C,RS Privat,32.0,11,0,Tidak tercatat,Tidak tercatat,1,1,100.0
3673047,RS Andalucia,Banten,Kota Serang,D,RS Privat,Tidak tercatat,0,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
3604046,RS Benggala,Banten,Kota Serang,D,RS Privat,13.0,8,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
3604053,RS Bhayangkara Tk. IV Biddokkes Polda Banten,Banten,Kota Serang,C,RS Publik,23.0,11,0,Tidak tercatat,Tidak tercatat,1,1,100.0
