Nama_RS_BPJS,Kode_RS,Status_BPJS,Layanan_BPJS,Rumah_Sakit,Provinsi,Kab_Kota,Status_Sudah_BPJS
RSUD dr. Soehadi Prijonegoro,3314012,Belum kerjasama BPJS,Kemo,RS Umum Daerah dr. Soehadi Prijonegoro,Jawa Tengah,Sragen,0
RSUD Dr. Moewardi Surakarta,3372015,Belum kerjasama BPJS,Kemo,RS Umum Daerah Dr. Moewardi Surakarta,Jawa Tengah,Kota Surakarta,0
RS Umum Dr. Oen,3372026,Belum kerjasama BPJS,Kemo,RS Umum Dr. Oen,Jawa Tengah,Kota Surakarta,0
RS Kasih Ibu Surakarta,3372165,Belum kerjasama BPJS,Kemo,RS Umum Kasih Ibu,Jawa Tengah,Kota Surakarta,0
RS PKU Muhammadiyah Surakarta,3372096,Belum kerjasama BPJS,Kemo,RS PKU Muhammadiyah Surakarta,Jawa Tengah,Kota Surakarta,0
RSUD Bantul,3402016,Belum kerjasama BPJS,Kemo,RS Umum Daerah Panembahan Senopati,DI Yogyakarta,Bantul,0
RSPAU Dr. Suhardi Harjolukito,3471074,Sudah kerjasama BPJS,Kemo,RSPAU Dr.  Suhardi Harjolukito,DI Yogyakarta,Bantul,1
RSUD Kota Yogyakarta,3471234,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Kota Yogyakarta,DI Yogyakarta,Kota Yogyakarta,1
RS Bethesda,3471063,Sudah kerjasama BPJS,Kemo,RS Bethesda Yogyakarta,DI Yogyakarta,Kota Yogyakarta,1
RS PKU Muhammadiyah Yogyakarta,3471041,Sudah kerjasama BPJS,Kemo,RS PKU Muhammadiyah Yogyakarta,DI Yogyakarta,Kota Yogyakarta,1
RS Panti Rapih,3471052,Sudah kerjasama BPJS,Kemo,RS Umum Panti Rapih,DI Yogyakarta,Kota Yogyakarta,1
RS Ken Saras,3322034,Sudah kerjasama BPJS,Kemo,RS Umum Ken Saras,Jawa Tengah,Semarang,1
RSUD KRMT Wongsonegoro,3374342,Sudah kerjasama BPJS,Kemo,RS Daerah KRMT Wongsonegoro,Jawa Tengah,Kota Semarang,1
RSUD Tidar,3371014,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Tidar,Jawa Tengah,Kota Magelang,1
RSUD Temanggung,3323013,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Djojonegoro Temanggung,Jawa Tengah,Temanggung,1
RS Tk. II Dr. Soedjono,3371025,Sudah kerjasama BPJS,Kemo,RS Umum Tk. II Dr. Soedjono,Jawa Tengah,Kota Magelang,1
RSUD RAA Soewondo,3318016,Sudah kerjasama BPJS,Kemo,RS Umum Daerah RAA Soewondo,Jawa Tengah,Pati,1
RS Keluarga Sehat,3318108,Sudah kerjasama BPJS,Kemo,RS Umum Keluarga Sehat ,Jawa Tengah,Pati,1
RS Indriati Solo,3311229,Sudah kerjasama BPJS,Kemo,RS Umum Indriati,Jawa Tengah,Sukoharjo,1
RSUD Dr. Tjitrowardojo,3306012,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Dr. Tjitrowardojo Purworejo,Jawa Tengah,Purworejo,1
RSUD Paru Ario Wirawan Salatiga,3373042,Sudah kerjasama BPJS,Kemo,RS Paru Dr. Ario Wirawan,Jawa Tengah,Kota Salatiga,1
RSUD Dr. Soedjati Grobogan,3315013,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Dr. R.Soedjati Soemodiardjo,Jawa Tengah,Grobogan,1
RS Islam Harapan Anda Tegal,3376082,Sudah kerjasama BPJS,Kemo,RS Umum Islam Harapan Anda,Jawa Tengah,Kota Tegal,1
RSUD Soetrasno Rembang,3317015,Sudah kerjasama BPJS,Kemo,RS Umum Daerah dr. R. Soetrasno Rembang,Jawa Tengah,Rembang,1
RS Bhayangkara Bondowoso,3511012,Sudah kerjasama BPJS,Kemo,RS Bhayangkara Bondowoso ,Jawa Timur,Bondowoso,1
RSU dr. H.Koesnadi Bondowoso,3511011,Sudah kerjasama BPJS,Kemo,RS Umum dr. H.Koesnadi Bondowoso,Jawa Timur,Bondowoso,1
RS Petrokimia Gresik,3525076,Sudah kerjasama BPJS,Kemo,RS Petrokimia Gresik,Jawa Timur,Gresik,1
RS Semen Gresik,3525021,Sudah kerjasama BPJS,Kemo,RS Semen Gresik,Jawa Timur,Gresik,1
RS Tk. III Baladhika Husada Jember,3509032,Sudah kerjasama BPJS,Kemo,RS Tk. III Baladhika Husada Jember,Jawa Timur,Jember,1
RS Bhayangkara Kediri,3571031,Sudah kerjasama BPJS,Kemo,RS Umum Bhayangkara Kediri,Jawa Timur,Kota Kediri,1
RSUD Nganjuk,3518011,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Nganjuk,Jawa Timur,Nganjuk,1
RS Panti Nirmala,3573044,Sudah kerjasama BPJS,Kemo,RS Umum Panti Nirmala,Jawa Timur,Kota Malang,1
RS Persada Hospital,3573257,Sudah kerjasama BPJS,Kemo,RS Umum Persada Hospital,Jawa Timur,Kota Malang,1
RS Tk. II Dr. Soepraoen,3573022,Sudah kerjasama BPJS,Kemo,RS Tk. II Dr. Soepraoen,Jawa Timur,Kota Malang,1
RSUD Dr. Saiful Anwar,3573011,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Dr. Saiful Anwar,Jawa Timur,Kota Malang,1
RSU Lavalette Malang,3573066,Sudah kerjasama BPJS,Kemo,RS Umum Lavalette Malang,Jawa Timur,Kota Malang,1
RS Aisyiyah,3573215,Sudah kerjasama BPJS,Kemo,RS Umum Islam Aisyiyah Malang,Jawa Timur,Kota Malang,1
RSUD Prof. Dr. Soekandar,3516020,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Prof. Dr. Soekandar,Jawa Timur,Mojokerto,1
RS Siti Hajar,3515106,Sudah kerjasama BPJS,Kemo,RS Islam Siti Hajar Sidoarjo,Jawa Timur,Sidoarjo,1
RSUD Sidoarjo,3515015,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Sidoarjo,Jawa Timur,Sidoarjo,1
RS Gatoel,3576036,Sudah kerjasama BPJS,Kemo,RS Gatoel,Jawa Timur,Kota Mojokerto,1
