Nama_RS_BPJS,Kode_RS,Status_BPJS,Layanan_BPJS,Rumah_Sakit,Provinsi,Kab_Kota,Status_Sudah_BPJS
RS Mujaisyah,7373005,Sudah kerjasama BPJS,Patologi Klinik,RS Mujaisyah,Sulawesi Selatan,Kota Palopo,1
RS Umum Sandi Karsa Makassar,7371434,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Sandi Karsa Makassar,Sulawesi Selatan,Kota Makassar,1
Rumah Sakit Sinar Kasih Toraja,7318056,Sudah kerjasama BPJS,Patologi Klinik,Rumah Sakit Sinar Kasih Toraja,Sulawesi Selatan,Tana Toraja,1
RS Umum St. Madyang,7373004,Sudah kerjasama BPJS,Patologi Klinik,RS Umum St. Madyang,Sulawesi Selatan,Kota Palopo,1
RS Tk. II Pelamonia,7371030,Sudah kerjasama BPJS,Patologi Klinik,RS Tk. II Pelamonia,Sulawesi Selatan,Kota Makassar,1
RS Stella Maris,7371063,Sudah kerjasama BPJS,Patologi Klinik,RS Stella Maris,Sulawesi Selatan,Kota Makassar,1
RS Akademis Jaury,7371052,Sudah kerjasama BPJS,Patologi Klinik,RS Akademis Jaury,Sulawesi Selatan,Kota Makassar,1
RS Islam Faisal,7371293,Sudah kerjasama BPJS,Patologi Klinik,RS Islam Faisal,Sulawesi Selatan,Kota Makassar,1
RS Tk. IV 07.07.03 Dr. Sumantri,7372031,Sudah kerjasama BPJS,Patologi Klinik,RS Tk. IV 07.07.03 Dr. Sumantri,Sulawesi Selatan,Kota Pare-pare,1
RS AU dr. Dody Sardjoto,7309044,Sudah kerjasama BPJS,Patologi Klinik,RS AU dr. Dody Sardjoto,Sulawesi Selatan,Maros,1
RS Khusus Gigi dan Mulut Universitas Hasanuddin,7371422,Sudah kerjasama BPJS,Patologi Klinik,RS Khusus Gigi dan Mulut Universitas Hasanuddin,Sulawesi Selatan,Kota Makassar,1
RS Ibu dan Anak Amanat,7371430,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Amanat,Sulawesi Selatan,Kota Makassar,1
RS Ibu Dan Anak Ananda,7371410,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Ananda,Sulawesi Selatan,Kota Makassar,1
RS Ibu dan Anak Ananda Trifa,7372077,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Ananda Trifa,Sulawesi Selatan,Kota Pare-pare,1
RS Ibu dan Anak Kartini,7371429,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Kartini ,Sulawesi Selatan,Kota Makassar,1
RS Ibu dan Anak Paramount,7371428,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Paramount,Sulawesi Selatan,Kota Makassar,1
RS Ibu dan Anak Permata Hati,7371413,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Permata Hati,Sulawesi Selatan,Kota Makassar,1
RS Ibu dan Anak Prof. dr. H. M. Farid,7371414,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Prof. dr. H. M. Farid,Sulawesi Selatan,Kota Makassar,1
RS Ibu dan Anak Yasira,7302017,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Yasira,Sulawesi Selatan,Bulukumba,1
RS Khusus Daerah Dadi,7371096,Sudah kerjasama BPJS,Patologi Klinik,RS Khusus Daerah Dadi,Sulawesi Selatan,Kota Makassar,1
RS Khusus Daerah Ibu dan Anak Pertiwi,7371234,Sudah kerjasama BPJS,Patologi Klinik,RS Khusus Daerah Ibu dan Anak Pertiwi,Sulawesi Selatan,Kota Makassar,1
RS Khusus Daerah Ibu dan Anak Siti Fatimah,7371256,Sudah kerjasama BPJS,Patologi Klinik,RS Khusus Daerah Ibu dan Anak Siti Fatimah,Sulawesi Selatan,Kota Makassar,1
RS Otak & Jantung Pertamina Royal Biringkanaya,7371449,Sudah kerjasama BPJS,Patologi Klinik,RS Otak & Jantung Pertamina Royal Biringkanaya,Sulawesi Selatan,Kota Makassar,1
RS Umum Bahagia,7371407,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Bahagia,Sulawesi Selatan,Kota Makassar,1
RSU Cahaya Medika Makassar,7371425,Sudah kerjasama BPJS,Patologi Klinik,RSU Cahaya Medika Makassar,Sulawesi Selatan,Kota Makassar,1
RS Hikmah,7371336,Sudah kerjasama BPJS,Patologi Klinik,RS Hikmah,Sulawesi Selatan,Kota Makassar,1
RS Umum Hikmah Masamba,7322003,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Hikmah Masamba,Sulawesi Selatan,Luwu Utara,1
RS Umum Inco Sorowako,7317020,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Inco Sorowako,Sulawesi Selatan,Luwu Timur,1
RS Umum Daerah Labuang Baji,7371026,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Labuang Baji,Sulawesi Selatan,Kota Makassar,1
RS Mitra Husada,7371403,Sudah kerjasama BPJS,Patologi Klinik,RS Mitra Husada,Sulawesi Selatan,Kota Makassar,1
RS Umum Daerah Nene Mallomo,7314013,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Nene Mallomo,Sulawesi Selatan,Sidenreng Rappang,1
RS Umum Wisata Universitas Indonesia Timur,7371412,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Wisata Universitas Indonesia Timur,Sulawesi Selatan,Kota Makassar,1
RS Umum Yapika,7306059,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Yapika,Sulawesi Selatan,Gowa,1
RS Umum Daerah Arifin Numang,7314024,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Arifin Numang,Sulawesi Selatan,Sidenreng Rappang,1
RS Umum Thalia Irham,7306057,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Thalia Irham,Sulawesi Selatan,Gowa,1
RS Umum Daerah Andi Makkasau Parepare,7372075,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Andi Makkasau Parepare,Sulawesi Selatan,Kota Pare-pare,1
RS Umum Daerah Prof. Dr. H. Anwar Makkatutu,7303010,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Prof. Dr. H. Anwar Makkatutu,Sulawesi Selatan,Bantaeng,1
RS Umum Daerah Batara Guru,7317075,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Batara Guru,Sulawesi Selatan,Luwu,1
RS Umum Batara Siang,7310016,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Batara Siang,Sulawesi Selatan,Pangkajene Kepulauan,1
RS Umum Daerah Datu Pancaitana,7308059,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Datu Pancaitana,Sulawesi Selatan,Bone,1
RS Dokter Palemmai Tandi,7373008,Sudah kerjasama BPJS,Patologi Klinik,RS Dokter Palemmai Tandi,Sulawesi Selatan,Kota Palopo,1
RS Umum Daerah dr. La Palaloi,7309016,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah dr. La Palaloi,Sulawesi Selatan,Maros,1
RS Umum Daerah H.A. Sulthan Daeng Radja,7302016,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah H.A. Sulthan Daeng Radja,Sulawesi Selatan,Bulukumba,1
RS Umum Daerah Haji Makassar,7371362,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Haji Makassar,Sulawesi Selatan,Kota Makassar,1
RS Umum Daerah Daya Kota Makassar,7371395,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Daya Kota Makassar,Sulawesi Selatan,Kota Makassar,1
RS Umum Daerah La Patarai,7311010,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah La Patarai,Sulawesi Selatan,Barru,1
RS Umum Daerah Lanto Daeng Pasewang,7304011,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Lanto Daeng Pasewang,Sulawesi Selatan,Jeneponto,1
RS Umum Daerah Massenrempulu Enrekang,7316015,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Massenrempulu Enrekang,Sulawesi Selatan,Enrekang,1
RS Umum Daerah H. Padjonga Dg. Ngalle Takalar,7305012,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah H. Padjonga Dg. Ngalle Takalar,Sulawesi Selatan,Takalar,1
RS Umum Daerah Pongtiku,7326002,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Pongtiku,Sulawesi Selatan,Toraja Utara,1
RS Umum Daerah La Mappapenning,7308071,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah La Mappapenning,Sulawesi Selatan,Bone,1
RS Umum Daerah Sawerigading,7373016,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Sawerigading,Sulawesi Selatan,Kota Palopo,1
RS Umum Daerah Sayang Rakyat,7371014,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Sayang Rakyat,Sulawesi Selatan,Kota Makassar,1
RS Umum Daerah Syehk Yusuf Gowa,7306046,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Syehk Yusuf Gowa,Sulawesi Selatan,Gowa,1
RS Umum Daerah Lamaddukkelleng Kabupaten Wajo,7313012,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Lamaddukkelleng Kabupaten Wajo,Sulawesi Selatan,Wajo,1
RS Umum Daerah Siwa,7313023,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Siwa,Sulawesi Selatan,Wajo,1
RS Umum Daerah Tenriawaru Bone,7308041,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Tenriawaru Bone,Sulawesi Selatan,Bone,1
RSUP Dr. Wahidin Sudirohusodo,7371325,Sudah kerjasama BPJS,Patologi Klinik,RSUP Dr. Wahidin Sudirohusodo,Sulawesi Selatan,Kota Makassar,1
RS Universitas Hasanuddin,7371408,Sudah kerjasama BPJS,Patologi Klinik,RS Universitas Hasanuddin,Sulawesi Selatan,Kota Makassar,1
RS Umum Sis Al Jufri Palu,7271128,Sudah kerjasama BPJS,Patologi Klinik,RS Umum  Sis Al Jufri Palu,Sulawesi Tengah,Kota Palu,1
RS Woodward,7271040,Sudah kerjasama BPJS,Patologi Klinik,RS Woodward,Sulawesi Tengah,Kota Palu,1
RS Umum Daerah Ampana,7209032,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Ampana,Sulawesi Tengah,Tojo Una-Una,1
RS Umum Daerah Anuntaloko Parigi,7208011,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Anuntaloko Parigi,Sulawesi Tengah,Parigi Moutong,1
RS Umum Anutapura Palu,7271036,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Anutapura Palu,Sulawesi Tengah,Kota Palu,1
RS Umum Daerah Banggai,7201011,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Banggai,Sulawesi Tengah,Banggai Laut,1
RS Umum Daerah Kabupaten Banggai,7202015,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Kabupaten Banggai ,Sulawesi Tengah,Banggai,1
RS Umum Daerah Kolonodale,7204021,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Kolonodale,Sulawesi Tengah,Morowali Utara,1
RS Umum Mokopido Toli-Toli,7206012,Sudah kerjasama BPJS,Patologi Klinik,RS Umum  Mokopido Toli-Toli,Sulawesi Tengah,Toli-Toli,1
RS Umum Daerah Morowali,7203016,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Morowali,Sulawesi Tengah,Morowali,1
RS Umum Daerah Pendau Tambu Kab Donggala,7205024,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Pendau Tambu Kab Donggala,Sulawesi Tengah,Donggala,1
RS Umum Daerah Salabangkapaku,7203018,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Salabangkapaku,Sulawesi Tengah,Morowali,1
RS Umum Daerah Trikora Salakan,7201012,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Trikora Salakan,Sulawesi Tengah,Banggai Kepulauan,1
RS Umum Daerah Undata Palu,7271014,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Undata Palu,Sulawesi Tengah,Kota Palu,1
RS Benyamin Guluh Kolaka,7404012,Sudah kerjasama BPJS,Patologi Klinik,RS Benyamin Guluh Kolaka,Sulawesi Tenggara,Kolaka,1
RS Bahteramas Provinsi Sultra,7471011,Sudah kerjasama BPJS,Patologi Klinik,RS Bahteramas Provinsi Sultra,Sulawesi Tenggara,Kota Kendari,1
RS Bhayangkara Kendari,7471070,Sudah kerjasama BPJS,Patologi Klinik,RS Bhayangkara Kendari,Sulawesi Tenggara,Kota Kendari,1
RS Umum Tiara Sentosa,7471009,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Tiara Sentosa,Sulawesi Tenggara,Kota Kendari,1
RS Hermina Kendari,7471010,Sudah kerjasama BPJS,Patologi Klinik,RS Hermina Kendari,Sulawesi Tenggara,Kota Kendari,1
RS Umum Daerah Konawe,7403022,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Konawe,Sulawesi Tenggara,Konawe,1
RS Umum Daerah Raha,7402010,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Raha,Sulawesi Tenggara,Muna,1
RS Umum Daerah Kabupaten Bombana,7406036,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Kabupaten Bombana,Sulawesi Tenggara,Bombana,1
RS Umum Daerah Kabupaten Buton,7401038,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Kabupaten Buton,Sulawesi Tenggara,Buton,1
RS Umum Daerah Kabupaten Buton Utara,7401024,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Kabupaten Buton Utara,Sulawesi Tenggara,Buton Utara,1
RS Umum Daerah Kota Bau Bau,7472016,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Kota Bau Bau,Sulawesi Tenggara,Kota Bau-Bau,1
RS Umum Daerah Kota Kendari,7471092,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Kota Kendari,Sulawesi Tenggara,Kota Kendari,1
RS Siloam Hospital Buton,7472002,Sudah kerjasama BPJS,Patologi Klinik,RS Siloam Hospital Buton,Sulawesi Tenggara,Kota Bau-Bau,1
RS Dr. J. H. Awaloei,7102121,Sudah kerjasama BPJS,Patologi Klinik,RS Dr. J. H. Awaloei,Sulawesi Utara,Minahasa,1
RS Hermina Manado,7171106,Sudah kerjasama BPJS,Patologi Klinik,RS Hermina Manado,Sulawesi Utara,Kota Manado,1
RS Umum Daerah Manembo-Nembo Bitung,7172036,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Manembo-Nembo Bitung,Sulawesi Utara,Kota Bitung,1
RS Siloam GMIM Sonder,7102040,Sudah kerjasama BPJS,Patologi Klinik,RS Siloam GMIM Sonder,Sulawesi Utara,Minahasa,1
RS Siloam Paal Dua,7171105,Sudah kerjasama BPJS,Patologi Klinik,RS Siloam Paal Dua,Sulawesi Utara,Kota Manado,1
RS Umum Manado Medical Center,7171102,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Manado Medical Center,Sulawesi Utara,Kota Manado,1
RS Hermana,7102062,Sudah kerjasama BPJS,Patologi Klinik,RS Hermana,Sulawesi Utara,Minahasa Utara,1
RS Budi Mulia Bitung,7172014,Sudah kerjasama BPJS,Patologi Klinik,RS Budi Mulia Bitung,Sulawesi Utara,Kota Bitung,1
RS TK. II R. W. Mongisidi,7171024,Sudah kerjasama BPJS,Patologi Klinik,RS TK. II R. W. Mongisidi,Sulawesi Utara,Kota Manado,1
RS Ibu dan Anak Kasih Fatimah Kotamobagu,7174004,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Kasih Fatimah Kotamobagu,Sulawesi Utara,Kota Kotamobagu,1
RS Budi Setia,7102073,Sudah kerjasama BPJS,Patologi Klinik,RS Budi Setia,Sulawesi Utara,Minahasa,1
RS Kalooran,7105116,Sudah kerjasama BPJS,Patologi Klinik,RS Kalooran,Sulawesi Utara,Minahasa Selatan,1
RS Gunung Maria,7173051,Sudah kerjasama BPJS,Patologi Klinik,RS Gunung Maria,Sulawesi Utara,Kota Tomohon,1
RS Tonsea,7102095,Sudah kerjasama BPJS,Patologi Klinik,RS Tonsea,Sulawesi Utara,Minahasa Utara,1
RS Umum Daerah Anugerah,7173002,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Anugerah,Sulawesi Utara,Kota Tomohon,1
RS Umum Daerah Dr. Sam Ratulangi Tondano,7102014,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Dr. Sam Ratulangi Tondano,Sulawesi Utara,Minahasa,1
RS Umum Daerah Kota Kotamobagu,7174035,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Kota Kotamobagu ,Sulawesi Utara,Kota Kotamobagu,1
RS Umum Daerah Maria Walanda Maramis,7106018,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Maria Walanda Maramis,Sulawesi Utara,Minahasa Utara,1
RS Umum Daerah ODSK,7171103,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah ODSK,Sulawesi Utara,Kota Manado,1
RS Umum Daerah Talaud,7104038,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Talaud,Sulawesi Utara,Kepulauan Talaud,1
RSUP Prof. Dr. R. D. Kandou,7171013,Sudah kerjasama BPJS,Patologi Klinik,RSUP Prof. Dr. R. D. Kandou,Sulawesi Utara,Kota Manado,1
RS Umum Siloam Hospital Manado,7171099,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Siloam Hospital Manado,Sulawesi Utara,Kota Manado,1
RS Umum Aisyiyah Pariaman,1377003,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Aisyiyah Pariaman,Sumatera Barat,Kota Pariaman,1
RS Bhayangkara Padang,1371123,Sudah kerjasama BPJS,Patologi Klinik,RS Bhayangkara Padang,Sumatera Barat,Kota Padang,1
RS Umum Ibnu Sina Kota Payakumbuh,1376011,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Ibnu Sina Kota Payakumbuh,Sumatera Barat,Kota Payakumbuh,1
RS Kelas D Pasaman,1309024,Sudah kerjasama BPJS,Patologi Klinik,RS Kelas D Pasaman,Sumatera Barat,Pasaman,1
RS Khusus Mata Padang Eye Center,1371457,Sudah kerjasama BPJS,Patologi Klinik,RS Khusus Mata Padang Eye Center,Sumatera Barat,Kota Padang,1
RS Umum Tamar Medical Centre,1377005,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Tamar Medical Centre,Sumatera Barat,Kota Pariaman,1
RS Umum Yos Sudarso,1371032,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Yos Sudarso,Sumatera Barat,Kota Padang,1
RS Umum Daerah Dr. Achmad Mochtar,1375014,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Dr. Achmad Mochtar,Sumatera Barat,Kota Bukittinggi,1
RS Islam Ibnu Sina Bukittinggi,1375040,Sudah kerjasama BPJS,Patologi Klinik,RS Islam Ibnu Sina Bukittinggi,Sumatera Barat,Kota Bukittinggi,1
RS Islam Ibnu Sina Panti Yarsi,1309023,Sudah kerjasama BPJS,Patologi Klinik,RS Islam Ibnu Sina Panti Yarsi ,Sumatera Barat,Pasaman,1
RS Umum Ibnu Sina Padang Panjang,1374024,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Ibnu Sina Padang Panjang,Sumatera Barat,Kota Padang Panjang,1
RS Umum Islam Ibnu Sina,1309022,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Islam Ibnu Sina,Sumatera Barat,Pasaman Barat,1
RS Islam Siti Rahmah,1371456,Sudah kerjasama BPJS,Patologi Klinik,RS Islam Siti Rahmah,Sumatera Barat,Kota Padang,1
RS Ibu dan Anak Cicik,1371451,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Cicik,Sumatera Barat,Kota Padang,1
RS Ibu dan Anak Fadhila Batusangkar,1305016,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Fadhila Batusangkar,Sumatera Barat,Tanah Datar,1
RS Ibu dan Anak Mutiara Bunda,1371460,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Mutiara Bunda,Sumatera Barat,Kota Padang,1
RS Ibu dan Anak Permata Bunda Solok,1372013,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Permata Bunda Solok,Sumatera Barat,Kota Solok,1
RS Ibu dan Anak Restu Ibu,1371465,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Restu Ibu,Sumatera Barat,Kota Padang,1
RS Ibu dan Anak Rezki Bunda,1307017,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Rezki Bunda,Sumatera Barat,Agam,1
RS Ibu dan Anak Sayang Ibu,1305015,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Sayang Ibu,Sumatera Barat,Tanah Datar,1
RS Jiwa Prof. Dr. Hasan Basri Saanin Datuk Tan Par,1371316,Sudah kerjasama BPJS,Patologi Klinik,RS Jiwa Prof. Dr. Hasan Basri Saanin Datuk Tan Par,Sumatera Barat,Kota Padang,1
RS Khusus Bedah Kartika Docta,1371463,Sudah kerjasama BPJS,Patologi Klinik,RS Khusus Bedah Kartika Docta,Sumatera Barat,Kota Padang,1
RS Khusus Ibu dan Anak Permata Hati,1302015,Sudah kerjasama BPJS,Patologi Klinik,RS Khusus Ibu dan Anak Permata Hati,Sumatera Barat,Pesisir Selatan,1
RS Otak DR. Drs. M. Hatta Bukittinggi,1375036,Sudah kerjasama BPJS,Patologi Klinik,RS Otak DR. Drs. M. Hatta Bukittinggi,Sumatera Barat,Kota Bukittinggi,1
RS Tk. III Reksodiwiryo Padang,1371021,Sudah kerjasama BPJS,Patologi Klinik,RS Tk. III Reksodiwiryo Padang,Sumatera Barat,Kota Padang,1
RS Tk. IV Bukittinggi,1375025,Sudah kerjasama BPJS,Patologi Klinik,RS Tk. IV Bukittinggi,Sumatera Barat,Kota Bukittinggi,1
RS Umum Aisyiyah Padang,1371112,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Aisyiyah Padang,Sumatera Barat,Kota Padang,1
RS Umum Bunda Padang,1371446,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Bunda Padang,Sumatera Barat,Kota Padang,1
RS Umum Daerah Dr. Adnaan WD,1376015,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Dr. Adnaan WD,Sumatera Barat,Kota Payakumbuh,1
RS Umum Harapan Ibunda,1305017,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Harapan Ibunda,Sumatera Barat,Tanah Datar,1
RS Umum Hermina Padang,1371466,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Hermina Padang,Sumatera Barat,Kota Padang,1
RS Umum Daerah Lubuk Basung,1308016,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Lubuk Basung,Sumatera Barat,Agam,1
RS Umum Daerah Lubuk Sikaping,1309011,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Lubuk Sikaping,Sumatera Barat,Pasaman,1
RS Umum Madina,1375051,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Madina,Sumatera Barat,Kota Bukittinggi,1
RS Umum Daerah Padang Panjang,1374013,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Padang Panjang,Sumatera Barat,Kota Padang Panjang,1
RS Umum Daerah Sawah Lunto,1373012,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Sawah Lunto,Sumatera Barat,Kota Sawah Lunto,1
RS Umum Daerah Kota Bukittinggi,1375053,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Kota Bukittinggi,Sumatera Barat,Kota Bukittinggi,1
RS Umum Daerah Dr Sadikin Kota Pariaman,1377007,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Dr Sadikin Kota Pariaman,Sumatera Barat,Kota Pariaman,1
RS Umum Daerah Dr. Muhammad Zein Painan,1302011,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Dr. Muhammad Zein Painan,Sumatera Barat,Pesisir Selatan,1
RS Umum Daerah Kep. Mentawai,1301010,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Kep. Mentawai,Sumatera Barat,Kepulauan Mentawai,1
RS Umum Daerah Mohammad Natsir,1372011,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Mohammad Natsir,Sumatera Barat,Kota Solok,1
RS Umum Daerah Padang Pariaman,1306056,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Padang Pariaman,Sumatera Barat,Padang Pariaman,1
RS Umum Daerah Pariaman,1306015,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Pariaman,Sumatera Barat,Kota Pariaman,1
RS Umum Daerah Pasaman Barat,1312024,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Pasaman Barat,Sumatera Barat,Pasaman Barat,1
RS Umum Daerah Prof. Dr. M.A. Hanafiah,1305014,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Prof. Dr. M.A. Hanafiah,Sumatera Barat,Tanah Datar,1
RS Umum Daerah Kabupaten Sijunjung,1304014,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Kabupaten Sijunjung,Sumatera Barat,Sijunjung,1
RS Umum Daerah Sungai Rumbai,1311002,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Sungai Rumbai,Sumatera Barat,Dharmasraya,1
RS Umum Daerah dr. Rasidin Padang,1371444,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah dr. Rasidin Padang,Sumatera Barat,Kota Padang,1
RSUP Dr. M. Djamil,1371010,Sudah kerjasama BPJS,Patologi Klinik,RSUP Dr. M. Djamil,Sumatera Barat,Kota Padang,1
RS Umum BKM,1302012,Sudah kerjasama BPJS,Patologi Klinik,RS Umum BKM,Sumatera Barat,Pesisir Selatan,1
RS Umum Naili DBS,1371462,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Naili DBS,Sumatera Barat,Kota Padang,1
RS Paru Sumatera Barat,1306057,Sudah kerjasama BPJS,Patologi Klinik,RS Paru Sumatera Barat,Sumatera Barat,Padang Pariaman,1
RS Umum Daerah Sungai Dareh,1311013,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Sungai Dareh,Sumatera Barat,Dharmasraya,1
RS Umum Daerah Arosuka Solok,1303023,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Arosuka Solok,Sumatera Barat,Solok,1
RS Umum Daerah Muara Labuh,1303012,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Muara Labuh,Sumatera Barat,Solok Selatan,1
RS. Universitas Andalas,1371464,Sudah kerjasama BPJS,Patologi Klinik,RS. Universitas Andalas,Sumatera Barat,Kota Padang,1
RS Tkt. IV 01.07.06 Solok,1372012,Sudah kerjasama BPJS,Patologi Klinik,RS Tkt. IV 01.07.06 Solok,Sumatera Barat,Kota Solok,1
RS Umum Semen Padang Hospital,1371305,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Semen Padang Hospital,Sumatera Barat,Kota Padang,1
Charitas Hospital Kenten,1671327,Sudah kerjasama BPJS,Patologi Klinik,Charitas Hospital Kenten,Sumatera Selatan,Kota Palembang,1
RS AR Bunda Kota Lubuk Linggau,1674002,Sudah kerjasama BPJS,Patologi Klinik,RS AR Bunda Kota Lubuk Linggau,Sumatera Selatan,Kota Lubuk Linggau,1
RS Umum Ar-Rasyid Palembang,1671343,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Ar-Rasyid Palembang,Sumatera Selatan,Kota Palembang,1
